TF	tf_source	matrix_id	pct_REF	score_REF	delta_T	delta_G	effect_T	rho_baseline	rho_lps	delta_rho
CEBPB	ChIP-seq	MA0466.4	-203.1	-37.479	-6.746	-9.789	sub-threshold	0.0497	0.02695	-0.02275
FOS	ChIP-seq	MA0476.2	-618.6	-89.001	18.744	0.0	GAIN	0.027549999999999998	0.0268	-0.0007499999999999972
FOSL2	ChIP-seq	MA0478.1	-263.3	-43.56	-15.638	1.913	sub-threshold	0.0487	0.02845	-0.02025
GATA2	ChIP-seq	MA0036.2	-245.9	-45.213	-10.327	-9.192	sub-threshold	-0.00405	-0.00255	0.0014999999999999996
GATA3	ChIP-seq	MA0037.4	-60.5	-9.366	-4.869	-6.547	sub-threshold	-0.016800000000000002	-0.01245	0.004350000000000003
JUN	ChIP-seq	MA0488.1	-205.2	-40.165	-19.476	2.349	sub-threshold	-0.0025499999999999997	0.00225	0.0048
JUND	ChIP-seq	MA0492.2	-370.9	-66.634	-1.363	5.585	sub-threshold	0.0073	0.00075	-0.00655
MAX	ChIP-seq	MA0058.2	-228.7	-36.805	24.55	0.0	GAIN	-0.0009000000000000002	0.0015	0.0024000000000000002
MEF2A	ChIP-seq	MA0052.1	-292.2	-53.527	13.226	10.967	GAIN	0.039999999999999994	5.000000000000002e-05	-0.03994999999999999
MYC	ChIP-seq	MA0147.2	-228.1	-35.277	22.347	0.0	GAIN	0.0123	-0.0014999999999999998	-0.0138
NFIC	ChIP-seq	MA1527.1	-173.2	-39.47	-21.014	-7.348	sub-threshold	0.0197	0.00625	-0.013449999999999998
PBX3	ChIP-seq	MA1114.2	-33.4	-6.373	4.982	0.518	GAIN	0.0388	0.01055	-0.02825
TCF12	ChIP-seq	MA0521.1	-180.4	-28.46	23.62	0.0	GAIN	0.0227	0.0069	-0.0158
SPI1	motif-LOSS	MA0080.4	-6.2	-1.571	-11.989	-2.484	sub-threshold	0.05505	0.0216	-0.03345
SPIB	motif-LOSS	MA0081.1	94.8	10.757	-2.999	-1.193	LOSS	-0.00375	-0.00575	-0.002
ETV6	motif-LOSS	MA0645.1	63.6	10.171	-4.372	-4.006	sub-threshold	0.08149999999999999	0.0349	-0.04659999999999999
